Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,RSI,StocOsci,ADMI,VVR,SMA
2007-02-07,33.79,34.91,33.59,34.83,12684267.0,0.0,1.0,20.9024867617,21.59531852178,20.778766804543,21.545830538918,19026400.5,58.45877415426969,115.71753368918321,32.79892120200323,95.33856767797862,19.747892354381
2007-02-08,34.3,34.87,34.0,34.38,12104600.0,0.0,1.0,21.217972652451,21.570574530349,21.032392716715,21.267460635314,18156900.0,55.783217169148344,113.9454244253331,34.92761129566386,92.3880256374085,19.858378694692217
2007-02-09,34.55,34.84,32.52,32.65,15632600.0,0.0,1.0,21.372622598898,21.552016536775,20.116865033753,20.197283005905,23448900.0,46.89681227866032,82.0560386176044,25.41328863279764,94.24744074841654,19.892401682910428
2007-02-12,32.89,34.08,32.54,33.37,13156000.0,0.0,1.0,20.345746954493,21.081880699578,20.129237029468,20.64267485167,19734000.0,50.435668126757975,75.67209837422666,18.61734387360748,109.68941659487179,19.95779651740772
2007-02-13,33.91,34.27,33.57,34.0,14162200.0,0.0,1.0,20.976718735995,21.199414658878,20.766394808828,21.032392716715,21243300.0,53.36422850588744,82.12211658551658,15.026527434405631,135.0317308205321,20.007284500270572
2007-02-14,34.3,34.5,33.47,33.55,18030800.0,0.0,1.0,21.217972652451,21.341692609608,20.704534830249,20.754022813112,27046200.0,51.04422731447912,73.4234603332709,14.047473587782408,113.45460893911516,20.087702472422713
2007-02-15,33.53,33.92,33.21,33.75,8144667.0,0.0,1.0,20.741650817396,20.982904733853,20.543698885945,20.877742770269,12217000.5,52.04215663490471,64.92548215482964,11.066906795108379,128.43049694251394,20.18844586610778
2007-02-16,33.61,33.65,32.62,32.72,15251000.0,0.0,1.0,20.791138800259,20.81588279169,20.178725012331,20.24058499091,22876500.0,46.75616284779738,19.902720613082906,11.54270632067081,105.51605722081896,20.300677541528927
2007-02-20,32.77,33.19,32.54,33.01,10426267.0,0.0,1.0,20.271514980199,20.531326890229,20.129237029468,20.419978928788,15639400.5,48.34695254207352,8.048462007580042,12.483202325332625,123.22152243733481,20.400095364244496
2007-02-21,32.74,33.09,32.19,32.52,10922200.0,0.0,1.0,20.252956986625,20.46946691165,19.912727104443,20.116865033753,16383300.0,45.85405768939023,-2.205317867986423,15.793195714493368,107.69592955001015,20.482722621345925
2007-02-22,33.03,33.56,32.65,32.73,10924200.0,0.0,1.0,20.432350924503,20.76020881097,20.197283005905,20.246770988768,16386300.0,47.112676854929376,1.122583330319756,13.058965962736096,107.1142526831284,20.55739645263007
2007-02-23,33.04,33.06,32.64,32.65,6717467.0,0.0,1.0,20.438536922361,20.450908918077,20.191097008047,20.197283005905,10076200.5,46.667636283577004,4.380228876258499,11.200219745181478,110.59093045375428,20.592745011817858
2007-02-26,32.74,32.99,32.1,32.15,8234467.0,0.0,1.0,20.252956986625,20.407606933072,19.857053123723,19.887983113012,12351700.5,43.877844389507274,-6.313863661484895,14.673412018909488,123.87875013235006,20.583024158041212
2007-02-27,31.8,32.55,31.13,31.18,11910467.0,0.0,1.0,19.671473187987,20.135423027326,19.25701133151,19.2879413208,17865700.5,39.006195202038164,-10.600169196254889,23.09971457550516,103.79295703243994,20.479629622417068
2007-02-28,31.09,31.67,30.71,31.0,13000800.0,0.0,1.0,19.232267340079,19.591055215835,18.99719942148,19.176593359358,19501200.0,38.159515726923914,-5.289864163449629,31.02393983857999,88.20370838604151,20.31039839530564
2007-03-01,30.33,31.19,29.93,30.62,13953800.0,0.0,1.0,18.762131502882,19.294127318658,18.514691588567,18.94152544076,20930700.0,36.36493093095053,6.061712113823148,39.546786024189394,75.43204680461494,20.14426016712321
2007-03-02,30.35,30.72,29.71,29.77,11378800.0,0.0,1.0,18.774503498597,19.003385419338,18.378599635695,18.415715622842,17068200.0,32.66446284767986,-0.7201366279864949,46.33018090967165,64.89977429689108,20.017005354047285
2007-03-05,29.25,29.83,28.66,28.762,11059267.0,0.0,1.0,18.094043734233,18.452831609989,17.72906986062,17.79216703877,16588900.5,28.90770042731954,-3.074189863372336,53.851520008308825,64.63177593503785,19.813397653125858
2007-03-06,29.39,30.79,29.27,30.46,13432867.0,0.0,1.0,18.180647704243,19.046687404343,18.106415729949,18.842549475034,20149300.5,41.179979411196506,23.404814375107513,48.762471333974716,77.27203145838246,19.656980278720074
2007-03-07,30.31,30.45,29.47,29.6,13527600.0,0.0,1.0,18.749759507166,18.836363477176,18.230135687106,18.310553659258,20291400.0,37.63629550901112,24.699091470547565,45.12743656659321,80.6650575364586,19.4824467677305
2007-03-08,30.22,31.16,30.2,30.82,12843667.0,0.0,1.0,18.694085526445,19.275569325084,18.68171353073,19.065245397917,19265500.5,44.882409138131784,47.08663420850695,35.81667412413078,81.98688042413102,19.352982669705362
2007-03-09,31.25,31.6,30.16,30.51,9255067.0,0.0,1.0,19.331243305805,19.54775323083,18.656969539298,18.873479464323,13882600.5,43.49934444860151,55.537885509479,25.631029336736077,81.28896287721058,19.255332274949147
2007-03-12,30.16,30.77,30.12,30.33,7133467.0,0.0,1.0,18.656969539298,19.034315408627,18.632225547867,18.762131502882,10700200.5,42.67699638511944,64.57034873346393,18.680765095453893,71.94262418627086,19.13691460167015
2007-03-13,30.02,30.2,29.03,29.05,10284467.0,0.0,1.0,18.570365569288,18.68171353073,17.95795178136,17.970323777076,15426700.5,37.27979497477156,34.73993557469886,21.157268087477537,62.82602764486494,18.98359022619322
2007-03-14,29.13,29.3,28.04,28.91,16193467.0,0.0,1.0,18.019811759939,18.124973723522,17.345537993432,17.883719807066,24290200.5,36.73261601755023,27.785934550908223,27.422977077202003,53.129196679162796,18.814800856071646
2007-03-15,28.84,29.1,28.18,28.62,10929200.0,0.0,1.0,17.840417822061,18.001253766365,17.432141963442,17.704325869188,16393800.0,35.56803322500569,17.987466961020225,31.89848349843377,44.43872549911207,18.636732489163286
2007-03-16,28.64,28.69,28.15,28.35,8760800.0,0.0,1.0,17.716697864904,17.747627854193,17.413583969869,17.537303927026,13141200.0,34.47221590442477,7.545345835513466,35.23616026892635,37.047326342510914,18.46882683302143
2007-03-19,28.5,28.95,28.4,28.49,7691800.0,0.0,1.0,17.630093894894,17.908463798497,17.568233916315,17.623907897036,11537700.0,35.580483726372876,6.09224858202888,34.34930735235518,42.78607427571266,18.34996730275257
2007-03-20,28.4,29.05,28.24,28.35,10941467.0,0.0,1.0,17.568233916315,17.970323777076,17.46925795059,17.537303927026,16412200.5,34.944015490203384,3.115328799206125,34.754839073085975,43.75344805705896,18.232875200443143
2007-03-21,29.5,30.44,28.941,29.97,21139600.0,0.0,1.0,18.24869368068,18.830177479318,17.902896400425,18.539435579999,31709400.0,46.802468320578804,37.80690469706592,28.159928688170865,47.60125164564621,18.204154496103072
2007-03-22,30.0,30.81,29.86,30.63,13515867.0,0.0,1.0,18.557993573572,19.059059400059,18.471389603562,18.947711438617,20273800.5,50.74188710141456,85.6059197411804,25.895213586592707,47.28974274780283,18.24215419722986
2007-03-23,30.4,30.94,30.07,30.29,8744000.0,0.0,1.0,18.805433487887,19.139477372211,18.601295558577,18.73738751145,13116000.0,48.73952938611831,95.34844845076145,25.13919334157223,49.50556137093003,18.309669945278426
2007-03-26,30.31,30.6,29.8,30.35,7455600.0,0.0,1.0,18.749759507166,18.929153445044,18.434273616415,18.774503498597,11183400.0,49.121095517721486,99.31407421796197,21.673763724571,49.15789505497193,18.30480951839007
2007-03-27,30.28,30.34,29.75,29.78,7817000.0,0.0,1.0,18.731201513592,18.76831750074,18.403343627126,18.4219016207,11725500.0,45.645022101211374,82.37829286738243,18.63529431250633,51.073561371598366,18.312762944207353
2007-03-28,29.53,29.78,29.16,29.21,7658400.0,0.0,1.0,18.267251674253,18.4219016207,18.038369753512,18.069299742802,11487600.0,42.41279081104399,56.2994893240744,16.245054484700564,43.84771446167242,18.241623968841996
2007-03-29,29.65,29.69,28.23,28.7,11983600.0,0.0,1.0,18.341483648547,18.366227639979,17.463071952732,17.753813852051,17975400.0,39.70372084802447,26.613991688243445,21.170730122873646,43.61441225823458,18.16164785367971
2007-03-30,29.09,29.3,28.63,28.78,9687400.0,0.0,1.0,17.995067768507,18.124973723522,17.710511867046,17.803301834914,14531100.0,40.34738211017615,14.686369226269434,24.68906986442585,42.99441142538417,18.093160020253425
2007-04-02,28.71,28.95,28.28,28.75,6680467.0,0.0,1.0,17.759999849909,17.908463798497,17.494001942021,17.78474384134,10020700.5,40.17418927088779,9.147398824834852,29.383052888401675,43.00238746106896,18.079904310557996
2007-04-03,28.75,29.07,28.37,28.64,7895400.0,0.0,1.0,17.78474384134,17.982695772792,17.549675922742,17.716697864904,11843100.0,39.50458504043291,4.644246304668684,30.98494699894987,43.075617690331924,18.067974171832137
2007-04-04,28.6,28.83,28.5,28.58,6028200.0,0.0,1.0,17.691953873472,17.834231824203,17.630093894894,17.679581877757,9042300.0,39.121557106203504,2.0858174074052585,32.129157077912865,44.38694868630251,18.066206743872776
2007-04-05,28.7,30.93,28.7,30.9,22215000.0,0.0,1.0,17.753813852051,19.133291374353,17.753813852051,19.11473338078,33322500.0,56.63132863041946,69.0204745538513,32.34966821128793,59.91517222891637,18.178880276283778
2007-04-09,30.9,31.25,30.28,30.34,10682467.0,0.0,1.0,19.11473338078,19.331243305805,18.731201513592,18.76831750074,16023700.5,52.69179626463414,79.51577104059785,34.06470698508613,61.02282414480634,18.26062381940549
2007-04-10,30.3,30.65,29.97,30.03,13237000.0,0.0,1.0,18.743573509308,18.960083434333,18.539435579999,18.576551567146,19855500.0,50.5936197356422,75.12451103387576,31.998824918521922,60.38867748295331,18.334855793699777
2007-04-11,30.09,30.39,29.39,29.49,13502467.0,0.0,1.0,18.613667554293,18.799247490029,18.180647704243,18.242507682822,20253700.5,47.07700647701087,57.54090381520359,25.002438366564146,59.57467514081964,18.313646658187135
2007-04-12,29.33,30.42,29.14,30.33,12394000.0,0.0,1.0,18.143531717096,18.817805483602,18.025997757797,18.762131502882,18591000.0,52.596616650869834,69.2029621093454,17.876256548392153,59.00152148468163,18.300390948491778
2007-04-13,30.23,30.64,29.86,30.58,10644867.0,0.0,1.0,18.700271524303,18.953897436475,18.471389603562,18.916781449328,15967300.5,54.129956979826595,80.91311755527317,14.659475247047984,70.10668876703262,18.313204801197347
2007-04-16,30.5,30.73,30.03,30.42,11197267.0,0.0,1.0,18.867293466465,19.009571417196,18.576551567146,18.817805483602,16795900.5,52.94948517746862,80.86255405203568,13.176661534095748,58.54106501175808,18.31629780012628
2007-04-17,31.19,31.9,30.56,30.71,17651800.0,0.0,1.0,19.294127318658,19.733333166565,18.904409453612,18.99719942148,26477700.0,54.87054429577208,74.95720500777804,20.24432793654032,72.13800746884218,18.357390500181992
2007-04-18,30.66,31.36,30.5,31.09,11396667.0,0.0,1.0,18.966269432191,19.399289282241,18.867293466465,19.232267340079,17095000.5,57.32909134223811,78.7609715427993,24.573466486298752,82.31583985420455,18.440459614273205
2007-04-19,30.84,31.7,30.75,31.52,9467600.0,0.0,1.0,19.077617393632,19.609613209408,19.021943412912,19.498265247967,14201400.0,59.98556009804851,88.97789187647521,29.63364354908342,94.09462724635829,18.565063285410066
2007-04-20,31.98,32.0,31.47,31.89,9834200.0,0.0,1.0,19.782821149428,19.795193145144,19.467335258678,19.727147168708,14751300.0,62.16803696804254,100.93071500840023,34.862733255418505,112.52164457978078,18.70248080925249
2007-04-23,31.74,31.8,31.28,31.37,9921200.0,0.0,1.0,19.63435720084,19.671473187987,19.349801299378,19.405475280099,14881800.0,57.427383203653804,91.57090349733565,35.775333498941116,113.36149678486966,18.818247340592418
2007-04-24,31.9,32.84,31.69,32.55,17134800.0,0.0,1.0,19.733333166565,20.314816965204,19.60342721155,20.135423027326,25702200.0,64.11468850436736,96.9367721374881,41.67713746752641,134.79344092972198,18.991013423622558
2007-04-25,32.5,33.29,32.35,33.11,8494000.0,0.0,1.0,20.104493038037,20.593186868808,20.011703070169,20.481838907366,12741000.0,66.78149549517724,100.80555386777687,47.49846862053872,135.42865097405405,19.191174640023203
2007-04-26,33.11,33.77,32.81,33.5199,8334467.0,0.0,1.0,20.481838907366,20.890114765985,20.29625897163,20.73540295956,12501700.5,68.61975079762563,100.73291976689268,53.14209198521257,155.50048138031082,19.306936752793202
2007-04-27,33.41,33.78,32.54,33.07,9234267.0,0.0,1.0,20.667418843102,20.896300763843,20.129237029468,20.457094915935,13851400.5,64.40685605095642,88.24126957112321,53.27085581011431,127.00599168891009,19.427563711021413
2007-04-30,33.52,33.94,32.88,32.89,9389800.0,0.0,1.0,20.735464819538,20.995276729568,20.339560956635,20.345746954493,14084700.0,62.7470178413271,74.68653487430245,54.06405027284221,108.01578185993017,19.553934810117628
2007-05-01,33.49,33.71,32.97,33.24,9075867.0,0.0,1.0,20.716906825965,20.852998778838,20.395234937356,20.562256879518,13613800.5,64.65444801622999,74.75642882409741,54.63061774621928,122.80547405169318,19.7196311813102
2007-05-02,33.41,33.55,32.68,32.85,10994267.0,0.0,1.0,20.667418843102,20.754022813112,20.215840999478,20.321002963062,16491400.5,60.91187064358932,60.35003812611896,49.98943610266867,107.42088700309513,19.83097914275163
2007-05-03,33.16,33.69,33.1,33.47,8337467.0,0.0,1.0,20.512768896655,20.840626783122,20.475652909508,20.704534830249,12506200.5,64.43631678410637,71.92835481609521,47.71826785928278,120.45354425296337,19.958675812817415
2007-05-04,33.65,33.88,33.33,33.71,6754067.0,0.0,1.0,20.81588279169,20.958160742421,20.617930860239,20.852998778838,10131100.5,65.72466121095066,84.02217636967745,47.50315802612064,133.68696650687778,20.104046762477132
2007-05-07,34.2,34.58,33.0,33.04,9285000.0,0.0,1.0,21.156112673873,21.391180592471,20.41379293093,20.438536922361,13927500.0,59.26953129617612,44.275328750689084,51.37054402023013,136.74308141713644,20.20699944111149
2007-05-08,32.84,33.37,32.2,33.29,12285000.0,0.0,1.0,20.314816965204,20.64267485167,19.918913102301,20.593186868808,18427500.0,60.815979969096595,36.68369451204779,42.205807909415356,138.94354593743304,20.304207978877848
2007-05-09,33.05,33.63,32.67,33.44,6964467.0,0.0,1.0,20.444722920219,20.803510795975,20.20965500162,20.685976836675,10446700.5,61.75426554824426,39.22433172537458,37.702499260026386,153.5317954766539,20.38904452092842
2007-05-10,33.58,34.02,32.53,32.82,13376400.0,0.0,1.0,20.772580806685,21.044764712431,20.12305103161,20.302444969488,20064600.0,55.80597881219093,21.522789090663153,37.27997904424262,146.33008591863975,20.430137220984136
